Age,Education,Degree,Skills,Technical Skills,Soft Skills,Work Experience,Interests,Career Interests,Personality/Strengths,Preferred Work Environment,Salary Expectation,Location Preference,Work-Life Balance Preference,Recommended_Career
20,Undergraduate,BBA,"Analysis, Programming","SQL, Tableau, Excel","Teamwork, Time Management, Problem Solving",0 years,"Business Intelligence, Analytics",Data Analytics,"Analytical, Curious",Office,86925,Remote,High,Data Analyst
33,Diploma,BCA,"Analysis, Programming","Python, SQL, Excel, MS Office","Communication, Creativity, Teamwork",3 years,"Branding, Social Media",Digital Marketing,"Creative, Persuasive",Hybrid,77542,Remote,Medium,Marketing Manager
28,Undergraduate,M.Sc,"Leadership, Communication","Machine Learning, Python, SQL","Teamwork, Creativity, Adaptability",0 years,"Branding, Social Media",Marketing,"Analytical, Innovative",Hybrid,56619,Remote,Low,Marketing Manager
28,Postgraduate,MA,"Research, Communication","SPSS, Excel, Statistics","Teamwork, Creativity, Adaptability",7 years,"Education, Research",Academic Research,"Analytical, Curious",Remote,81475,Hyderabad,Medium,Academic Researcher
27,Undergraduate,M.Sc,"Research, Programming","SEO, Digital Marketing, Excel, UI Design","Leadership, Time Management, Critical Thinking",5 years,"Data Science, Technology",Data Analytics,"Leadership, Communication",Hybrid,72089,Mumbai,Medium,Marketing Manager
27,Undergraduate,M.Sc,"Creativity, Communication","Research Methods, SPSS, Python, Power BI","Teamwork, Creativity, Adaptability",4 years,"Design, User Experience",Creative Design,"Innovative, Empathetic",Office,65676,Hyderabad,High,UI/UX Designer
39,Undergraduate,Diploma in Management,"Programming, Research","Research Methods, SPSS, Python, Power BI","Communication, Creativity, Teamwork",14 years,"Research, Education",Research,"Analytical, Innovative",Office,89936,Mumbai,Medium,Academic Researcher
36,Postgraduate,B.Des,"Creativity, Communication","Python, SPSS, Research Methods","Leadership, Time Management, Critical Thinking",3 years,"Design, User Experience",Research,"Innovative, Empathetic",Remote,62250,Remote,Medium,UI/UX Designer
21,Diploma,MCA,"Programming, Research","Figma, Photoshop, Canva","Teamwork, Time Management, Problem Solving",0 years,"Design, User Experience",Business Analytics,"Curious, Analytical",Hybrid,84836,Ahmedabad,High,UI/UX Designer
42,Postgraduate,BBA,"Creativity, Communication","Figma, UI Design, Adobe XD","Communication, Creativity, Teamwork",9 years,"Design, User Experience",Creative Design,"Creative, Detail Oriented",Remote,59743,Mumbai,High,UI/UX Designer
